Serial-No,Period,Age-group,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,Airtime-Data-bundles
2638,20/06/2022,Baby Boomers,Middle Income,More,More,Less
2639,20/06/2022,Gen Z,Middle Income,More,More,Same
2640,20/06/2022,Gen X,Middle Income,Same,More,Same
2641,20/06/2022,Baby Boomers,Middle Income,Same,Less,Less
2642,20/06/2022,Baby Boomers,Middle Income,More,More,Less
2643,20/06/2022,Gen X,Middle Income,Same,Same,Same
2644,20/06/2022,Millennials,Middle Income,Same,Same,Same
2645,20/06/2022,Millennials,Middle Income,More,Less,More
2646,20/06/2022,Gen X,Middle Income,More,Less,More
2647,20/06/2022,Baby Boomers,Middle Income,More,More,Less
2648,20/06/2022,Baby Boomers,Middle Income,More,More,Don't Know or Don't Buy
2649,20/06/2022,Millennials,Middle Income,Same,Same,Same
2650,20/06/2022,Gen Z,Middle Income,More,More,Same
2651,20/06/2022,Millennials,Middle Income,More,Less,Same
2652,20/06/2022,Millennials,Middle Income,Same,Don't Know or Don't Buy,Same
2653,20/06/2022,Millennials,Middle Income,More,More,More
2654,20/06/2022,Gen X,Middle Income,Same,Less,Same
2655,20/06/2022,Millennials,Middle Income,Same,Same,More
2656,20/06/2022,Baby Boomers,Middle Income,More,More,Same
2657,20/06/2022,Millennials,Middle Income,Same,Same,Same
2658,20/06/2022,Gen X,Middle Income,Don't Know or Don't Buy,Don't Know or Don't Buy,Same
2659,20/06/2022,Gen X,Middle Income,Same,Same,Same
2660,20/06/2022,Millennials,Middle Income,More,More,Same
2661,20/06/2022,Gen X,Middle Income,Same,Same,Same
2662,20/06/2022,Millennials,Middle Income,Same,Same,Same
2663,20/06/2022,Gen X,Middle Income,More,Same,Same
2664,20/06/2022,Baby Boomers,Middle Income,More,More,Same
2665,20/06/2022,Millennials,Middle Income,Same,Same,Same
2666,20/06/2022,Millennials,Middle Income,Same,More,Same
2667,20/06/2022,Baby Boomers,Middle Income,Same,Less,Less
2668,20/06/2022,Gen X,Middle Income,Same,Same,Less
2669,20/06/2022,Baby Boomers,Middle Income,Same,Less,Less
2670,20/06/2022,Baby Boomers,Middle Income,Same,Same,Same
2671,20/06/2022,Gen X,Middle Income,More,More,Less
2672,20/06/2022,Gen X,Middle Income,Same,Same,Same
2673,20/06/2022,Gen Z,Middle Income,Same,Same,Same
2674,20/06/2022,Baby Boomers,Middle Income,Less,Less,Less
2675,20/06/2022,Millennials,Middle Income,Less,Less,Less
2676,20/06/2022,Baby Boomers,Middle Income,More,More,More
2677,20/06/2022,Millennials,Middle Income,Same,Same,Same
2678,20/06/2022,Millennials,Middle Income,Same,Same,More
2679,20/06/2022,Millennials,Middle Income,Less,Same,Less
2680,20/06/2022,Gen Z,Middle Income,More,Less,Less
2681,20/06/2022,Gen X,Middle Income,Same,Same,Less
2682,20/06/2022,Gen X,Middle Income,More,More,More
2683,20/06/2022,Millennials,Middle Income,More,Same,Less
2684,20/06/2022,Gen X,Middle Income,Less,Less,Less
2685,20/06/2022,Gen X,Middle Income,Same,Same,Same
2686,20/06/2022,Millennials,Middle Income,Same,Same,Same
2687,20/06/2022,Gen X,Middle Income,Same,Less,Same
2688,20/06/2022,Millennials,Middle Income,Same,Same,Same
2689,20/06/2022,Baby Boomers,Middle Income,Less,Less,Less
2690,20/06/2022,Millennials,Middle Income,Same,Same,Same
2691,20/06/2022,Gen X,Middle Income,Same,Same,More
2692,20/06/2022,Gen X,Middle Income,Same,Same,Less
2693,20/06/2022,Baby Boomers,Middle Income,Same,Same,Same
2694,20/06/2022,Gen X,Middle Income,Same,Same,More
2695,20/06/2022,Millennials,Middle Income,Same,Same,More
2696,20/06/2022,Gen X,Middle Income,Same,Same,More
2697,20/06/2022,Gen X,Middle Income,Same,Same,Same
2698,20/06/2022,Gen X,Middle Income,Same,Same,Same
2699,20/06/2022,Gen X,Middle Income,Same,More,Less
2700,20/06/2022,Millennials,Middle Income,Less,Same,Less
2701,20/06/2022,Gen X,Middle Income,Less,Less,Less
2702,20/06/2022,Baby Boomers,Middle Income,Same,Same,Less
2703,20/06/2022,Baby Boomers,Middle Income,Same,Same,Same
2704,20/06/2022,Millennials,Middle Income,Same,Same,Same
2705,20/06/2022,Millennials,Middle Income,Same,Same,Same
2706,20/06/2022,Millennials,Middle Income,Same,Same,Less
2707,20/06/2022,Gen X,Middle Income,More,More,Same
2708,20/06/2022,Millennials,Middle Income,Same,Same,Same
2709,20/06/2022,Gen X,Middle Income,More,More,Less
2710,20/06/2022,Gen Z,Middle Income,Same,Same,Same
2711,20/06/2022,Millennials,Middle Income,Less,Same,Same
2712,20/06/2022,Gen X,Middle Income,Less,Same,Same
2713,20/06/2022,Millennials,Middle Income,Less,Same,More
2714,20/06/2022,Gen X,Middle Income,Same,Same,Same
2715,20/06/2022,Baby Boomers,Middle Income,More,More,Less
2716,20/06/2022,Millennials,Middle Income,Same,Same,More
2717,20/06/2022,Millennials,Middle Income,Same,More,More
2718,20/06/2022,Gen Z,Middle Income,More,Same,More
2719,20/06/2022,Gen X,Middle Income,More,Same,More
2720,20/06/2022,Baby Boomers,Middle Income,Same,Same,Same
2721,20/06/2022,Gen X,Middle Income,More,More,Less
2722,20/06/2022,Millennials,Middle Income,Same,Same,Less
2723,20/06/2022,Gen X,Middle Income,Less,Same,Less
2724,20/06/2022,Gen X,Middle Income,Same,Same,Same
2725,20/06/2022,Gen X,Middle Income,Same,Same,Same
2726,20/06/2022,Millennials,Middle Income,Same,More,Same
2727,20/06/2022,Gen X,Middle Income,Same,Same,Same
2728,20/06/2022,Gen X,Middle Income,Same,More,Same
2729,20/06/2022,Baby Boomers,Middle Income,Same,More,More
2730,20/06/2022,Millennials,Middle Income,Same,More,More
2731,20/06/2022,Gen X,Middle Income,Same,Same,Same
2732,20/06/2022,Millennials,Middle Income,Same,Same,More
2733,20/06/2022,Baby Boomers,High Income,More,More,More
2734,20/06/2022,Baby Boomers,High Income,More,More,Same
2735,20/06/2022,Baby Boomers,High Income,More,More,Don't Know or Don't Buy
2736,20/06/2022,Baby Boomers,High Income,More,More,Same
2737,20/06/2022,Gen Z,High Income,More,More,More
2738,20/06/2022,Gen Z,High Income,More,More,More
2739,20/06/2022,Millennials,High Income,More,More,More
2740,20/06/2022,Gen Z,Low Income,Same,Same,Same
2741,20/06/2022,Gen X,Low Income,More,Less,More
2742,20/06/2022,Gen Z,Low Income,More,Don't Know or Don't Buy,More
2743,20/06/2022,Gen X,Low Income,Don't Know or Don't Buy,More,Same
2744,20/06/2022,Millennials,Low Income,Same,Same,Same
2745,20/06/2022,Gen X,Low Income,More,More,Same
2746,20/06/2022,Gen Z,Low Income,Same,Same,Same
2747,20/06/2022,Millennials,Low Income,Same,Same,Same
2748,20/06/2022,Millennials,Low Income,Same,Same,Same
2749,20/06/2022,Millennials,Low Income,Same,More,Less
2750,20/06/2022,Baby Boomers,Low Income,Same,Same,Same
2751,20/06/2022,Gen X,Low Income,Same,Same,Same
2752,20/06/2022,Gen Z,Low Income,Same,Same,Same
2753,20/06/2022,Millennials,Low Income,Same,Same,More
2754,20/06/2022,Gen X,Low Income,Same,Same,Same
2755,20/06/2022,Millennials,Low Income,Same,Same,Same
2756,20/06/2022,Gen X,Low Income,Same,Less,Less
2757,20/06/2022,Gen Z,Low Income,More,More,More
2758,20/06/2022,Gen Z,Low Income,More,More,More
2759,20/06/2022,Millennials,Low Income,Same,Same,Same
2760,20/06/2022,Millennials,Low Income,Same,Less,Same
2761,20/06/2022,Millennials,Low Income,Don't Know or Don't Buy,Less,Same
2762,20/06/2022,Millennials,Low Income,Less,More,More
2763,20/06/2022,Millennials,Low Income,Same,Same,Less
2764,20/06/2022,Millennials,Low Income,More,More,More
2765,20/06/2022,Millennials,Low Income,More,More,Same
2766,20/06/2022,Gen X,Low Income,Same,More,Same
2767,20/06/2022,Gen Z,Low Income,More,More,Same
2768,20/06/2022,Baby Boomers,Low Income,Same,More,More
2769,20/06/2022,Gen X,Low Income,Same,More,Same
2770,20/06/2022,Gen Z,Low Income,Same,More,Less
2771,20/06/2022,Millennials,Low Income,More,Same,Same
2772,20/06/2022,Gen X,Low Income,More,More,Same
2773,20/06/2022,Gen Z,Low Income,More,More,Same
2774,20/06/2022,Millennials,Low Income,More,More,Less
2775,20/06/2022,Gen Z,Low Income,More,More,Same
2776,20/06/2022,Gen X,Low Income,Don't Know or Don't Buy,More,More
2777,20/06/2022,Gen X,Low Income,Same,Don't Know or Don't Buy,More
2778,20/06/2022,Millennials,Low Income,More,More,Less
2779,20/06/2022,Millennials,Low Income,More,More,Less
2780,20/06/2022,Millennials,Low Income,More,More,Less
2781,20/06/2022,Gen X,Low Income,More,More,Less
2782,20/06/2022,Gen X,Low Income,More,More,Less
2783,20/06/2022,Millennials,Low Income,More,More,Less
2784,20/06/2022,Gen X,Low Income,More,More,Less
2785,20/06/2022,Millennials,Low Income,More,More,Less
2786,20/06/2022,Millennials,Low Income,More,Same,Same
2787,20/06/2022,Millennials,Low Income,More,Same,More
2788,20/06/2022,Millennials,Low Income,More,Same,More
2789,20/06/2022,Gen X,Low Income,More,Same,More
2790,20/06/2022,Gen Z,Low Income,More,Same,More
2791,20/06/2022,Gen Z,Low Income,More,More,Don't Know or Don't Buy
2792,20/06/2022,Millennials,Low Income,Less,Same,Same
2793,20/06/2022,Millennials,Low Income,Less,Less,Same
2794,20/06/2022,Millennials,Low Income,Same,Same,Less
2795,20/06/2022,Gen Z,Low Income,More,More,Same
2796,20/06/2022,Millennials,Low Income,Don't Know or Don't Buy,Same,More
2797,20/06/2022,Gen Z,Low Income,Same,More,Don't Know or Don't Buy
2798,20/06/2022,Gen Z,Low Income,Same,Less,Same
2799,20/06/2022,Gen Z,Low Income,More,More,Less
2800,20/06/2022,Gen Z,Low Income,Don't Know or Don't Buy,Same,Same
2801,20/06/2022,Gen Z,Low Income,Same,Same,Same
2802,20/06/2022,Millennials,Low Income,Same,Same,Same
2803,20/06/2022,Gen X,Low Income,Same,Same,Same
2804,20/06/2022,Millennials,Low Income,Same,Same,Same
2805,20/06/2022,Millennials,Low Income,More,More,Same
2806,20/06/2022,Millennials,Low Income,More,More,More
2807,20/06/2022,Baby Boomers,Low Income,Don't Know or Don't Buy,Don't Know or Don't Buy,Don't Know or Don't Buy
2808,20/06/2022,Millennials,Low Income,Less,Less,Same
2809,20/06/2022,Baby Boomers,Low Income,Less,Less,Same
2810,20/06/2022,Millennials,Low Income,Same,Less,More
2811,20/06/2022,Millennials,Low Income,More,More,Less
2812,20/06/2022,Millennials,Low Income,More,More,Less
2813,20/06/2022,Gen Z,Low Income,More,More,Same
2814,20/06/2022,Millennials,Low Income,More,Same,More
2815,20/06/2022,Millennials,Low Income,More,More,Less
2816,20/06/2022,Gen X,Low Income,Same,Less,Same
2817,20/06/2022,Gen Z,Low Income,More,More,Same
2818,20/06/2022,Gen X,Low Income,Same,Same,Same
2819,20/06/2022,Gen X,Low Income,Same,Same,Same
2820,20/06/2022,Millennials,Low Income,More,Same,Same
2821,20/06/2022,Millennials,Low Income,Same,Same,Same
2822,20/06/2022,Gen Z,Low Income,Less,Less,Same
2823,20/06/2022,Baby Boomers,Low Income,Less,Less,Less
2824,20/06/2022,Gen Z,Low Income,More,More,Same
2825,20/06/2022,Gen Z,Low Income,Less,Same,Same
2826,20/06/2022,Millennials,Low Income,Same,Same,Same
2827,20/06/2022,Gen X,Low Income,Same,Same,More
2828,20/06/2022,Gen Z,Low Income,Less,Less,Same
2829,20/06/2022,Millennials,Low Income,Same,Same,Same
2830,20/06/2022,Baby Boomers,Low Income,More,More,Less
2831,20/06/2022,Millennials,Low Income,Less,Less,Less
2832,20/06/2022,Millennials,Low Income,Less,Less,Less
2833,20/06/2022,Millennials,Low Income,Same,More,Same
2834,20/06/2022,Millennials,Low Income,Same,Same,Less
2835,20/06/2022,Gen X,Low Income,Less,Less,Same
2836,20/06/2022,Gen X,Low Income,Same,Same,Same
2837,20/06/2022,Millennials,Low Income,More,More,Same
2838,20/06/2022,Gen Z,Low Income,More,More,Less
2839,20/06/2022,Gen Z,Low Income,More,More,Same
2840,20/06/2022,Gen Z,Low Income,Same,Same,Same
2841,20/06/2022,Millennials,Low Income,Same,Same,Less
2842,20/06/2022,Millennials,Low Income,More,More,More
2843,20/06/2022,Millennials,Low Income,Same,More,Same
2844,20/06/2022,Millennials,Low Income,Same,Same,Same
2845,20/06/2022,Millennials,Low Income,More,More,Same
2846,20/06/2022,Baby Boomers,Low Income,Same,Same,Same
2847,20/06/2022,Gen Z,Low Income,Same,Less,Less
2848,20/06/2022,Gen Z,Low Income,Don't Know or Don't Buy,Don't Know or Don't Buy,Don't Know or Don't Buy
2849,20/06/2022,Baby Boomers,Low Income,Same,Same,Less
2850,20/06/2022,Gen X,Low Income,Same,Same,Same
2851,20/06/2022,Gen Z,Low Income,Same,Same,Same
2852,20/06/2022,Baby Boomers,Low Income,Same,Same,Same
2853,20/06/2022,Gen Z,Low Income,Same,Same,Same
2854,20/06/2022,Gen Z,Low Income,Same,Same,Same
2855,20/06/2022,Baby Boomers,Low Income,Same,Same,Same
2856,20/06/2022,Millennials,Low Income,Less,Less,Less
2857,20/06/2022,Millennials,Low Income,Same,Same,Less
2858,20/06/2022,Gen Z,Low Income,Same,Same,Less
2859,20/06/2022,Gen Z,Low Income,Same,Less,Same
2860,20/06/2022,Baby Boomers,Low Income,More,Don't Know or Don't Buy,More
2861,20/06/2022,Millennials,Low Income,Same,Same,Less
2862,20/06/2022,Millennials,Low Income,Same,Less,Less
2863,20/06/2022,Millennials,Low Income,Same,Same,Same
2864,20/06/2022,Millennials,Low Income,More,More,More
2865,20/06/2022,Gen Z,Low Income,Same,Same,Same
2866,20/06/2022,Gen Z,Low Income,Same,Same,Less
2867,20/06/2022,Gen Z,Low Income,Same,Less,More
2868,20/06/2022,Baby Boomers,Low Income,Same,Same,Same
2869,20/06/2022,Baby Boomers,Low Income,Less,Less,Less
2870,20/06/2022,Gen Z,Low Income,Less,Less,More
2871,20/06/2022,Gen Z,Low Income,Less,Less,Same
2872,20/06/2022,Millennials,Low Income,Same,Same,Same
2873,20/06/2022,Millennials,Low Income,Same,Same,Same
2874,20/06/2022,Millennials,Low Income,Same,Same,Same
2875,20/06/2022,Millennials,Low Income,Same,Same,Less
2876,20/06/2022,Gen Z,Low Income,Same,Same,Same
2877,20/06/2022,Millennials,Low Income,More,More,More
2878,20/06/2022,Millennials,Low Income,Same,Same,Same
2879,20/06/2022,Gen X,Low Income,Same,Same,Same
2880,20/06/2022,Millennials,Low Income,Same,Same,Same
2881,20/06/2022,Millennials,Low Income,Same,More,Same
2882,20/06/2022,Gen X,Low Income,More,More,Same
2883,20/06/2022,Gen Z,Low Income,Same,Same,Same
2884,20/06/2022,Gen Z,Low Income,Same,More,Same
2885,20/06/2022,Millennials,Low Income,Same,Same,Less
2886,20/06/2022,Gen Z,Low Income,More,More,More
2887,20/06/2022,Millennials,Low Income,Same,Same,Same
2888,20/06/2022,Gen X,Low Income,More,More,Less
2889,20/06/2022,Gen Z,Low Income,More,More,Less
2890,20/06/2022,Gen Z,Low Income,Same,Same,Same
2891,20/06/2022,Millennials,Low Income,More,More,Same
2892,20/06/2022,Gen X,Low Income,Same,Same,More
2893,20/06/2022,Gen X,Low Income,Less,Same,More
2894,20/06/2022,Millennials,Low Income,Same,Same,Same
2895,20/06/2022,Gen X,Low Income,Less,Same,Don't Know or Don't Buy
2896,20/06/2022,Gen X,Low Income,Less,Same,More
2897,20/06/2022,Gen Z,Low Income,Same,Same,Same
2898,20/06/2022,Baby Boomers,Low Income,Less,More,More
2899,20/06/2022,Gen X,Low Income,Less,Same,Same
2900,20/06/2022,Gen X,Low Income,Less,Same,More
2901,20/06/2022,Millennials,Low Income,Same,Same,Same
2902,20/06/2022,Gen Z,Low Income,Same,Same,More
2903,20/06/2022,Millennials,Low Income,Less,More,Same
2904,20/06/2022,Millennials,Low Income,Less,Same,Same
2905,20/06/2022,Gen X,Low Income,Less,More,Same
2906,20/06/2022,Baby Boomers,Low Income,More,More,Less
2907,20/06/2022,Millennials,Low Income,More,More,More
2908,20/06/2022,Millennials,Low Income,More,More,More
2909,20/06/2022,Millennials,Low Income,Same,Same,Same
2910,20/06/2022,Baby Boomers,Low Income,More,More,Same
2911,20/06/2022,Millennials,Low Income,Same,Same,Same
2912,20/06/2022,Millennials,Low Income,Less,Less,Less
2913,20/06/2022,Gen Z,Low Income,Same,Same,Same
2914,20/06/2022,Millennials,Low Income,More,More,Same
2915,20/06/2022,Gen Z,Low Income,More,More,More
2916,20/06/2022,Millennials,Low Income,More,More,More
2917,20/06/2022,Gen Z,Low Income,More,More,Same
2918,20/06/2022,Gen Z,Low Income,Same,Same,Same
2919,20/06/2022,Gen Z,Low Income,More,Same,More
2920,20/06/2022,Gen Z,Low Income,More,More,More
2921,20/06/2022,Gen Z,Low Income,Less,Less,Same
2922,20/06/2022,Gen X,Low Income,Same,Same,Less
2923,20/06/2022,Millennials,Low Income,Same,More,More
2924,20/06/2022,Millennials,Low Income,Same,Less,Less
2925,20/06/2022,Millennials,Low Income,Same,Same,Less
2926,20/06/2022,Gen Z,Low Income,More,Less,Less
2927,20/06/2022,Gen X,Low Income,Same,Same,Less
2928,20/06/2022,Gen Z,Low Income,Same,Same,Same
2929,20/06/2022,Millennials,Low Income,Same,Same,Same
2930,20/06/2022,Millennials,Low Income,More,Less,Same
2931,20/06/2022,Gen Z,Low Income,Less,Less,More
2932,20/06/2022,Millennials,Low Income,Less,Less,Less
2933,20/06/2022,Millennials,Low Income,Same,Same,Less
2934,20/06/2022,Millennials,Low Income,More,Less,Less
2935,20/06/2022,Millennials,Low Income,Less,Less,Less
2936,20/06/2022,Gen X,Low Income,More,More,More
2937,20/06/2022,Gen Z,Low Income,Less,Less,Same
2938,20/06/2022,Gen Z,Low Income,Same,More,More
2939,20/06/2022,Millennials,Low Income,More,More,More
2940,20/06/2022,Gen Z,Low Income,More,More,More
2941,20/06/2022,Gen Z,Low Income,More,More,More
2942,20/06/2022,Millennials,Low Income,More,More,More
2943,20/06/2022,Gen X,Low Income,More,More,Same
2944,20/06/2022,Millennials,Low Income,More,More,More
2945,20/06/2022,Baby Boomers,Low Income,Less,Less,Less
2946,20/06/2022,Gen X,Low Income,Same,Same,More
2947,20/06/2022,Gen Z,Low Income,More,More,Less
2948,20/06/2022,Millennials,Low Income,Same,Same,Same
2949,20/06/2022,Gen X,Low Income,More,Less,Less
2950,20/06/2022,Millennials,Low Income,Same,Same,Same
2951,20/06/2022,Millennials,Low Income,Same,Same,Same
2952,20/06/2022,Gen Z,Low Income,Same,Same,Same
2953,20/06/2022,Millennials,Low Income,More,More,Same
2954,20/06/2022,Gen Z,Low Income,Same,Same,Same
2955,20/06/2022,Millennials,Low Income,Same,Same,Same
2956,20/06/2022,Gen Z,Low Income,Same,More,Don't Know or Don't Buy
2957,20/06/2022,Millennials,Low Income,Same,Same,More
2958,20/06/2022,Gen Z,Low Income,More,More,More
2959,20/06/2022,Millennials,Low Income,Same,More,Don't Know or Don't Buy
2960,20/06/2022,Millennials,Low Income,Same,Same,Less
2961,20/06/2022,Millennials,Low Income,Same,Same,Less
2962,20/06/2022,Millennials,Low Income,Same,Same,Less
2963,20/06/2022,Millennials,Low Income,Same,Same,Same
2964,20/02/2022,Millennials,Low Income,More,More,Same
2965,20/02/2022,Gen X,Low Income,Same,More,More
2966,20/02/2022,Baby Boomers,Middle Income,Same,Same,Same
2967,20/02/2022,Gen Z,Middle Income,Same,Same,Same
2968,20/02/2022,Millennials,Middle Income,Same,Same,Same
2969,20/02/2022,Millennials,Low Income,Same,Same,Less
2970,20/02/2022,Millennials,Low Income,Same,Same,Less
2971,20/02/2022,Gen X,Low Income,Same,Same,Same
2972,20/02/2022,Gen X,Low Income,Same,Same,Same
2973,20/02/2022,Millennials,Low Income,Same,Same,Same
2974,20/02/2022,Millennials,Low Income,Same,Same,More
2975,20/02/2022,Gen X,Low Income,More,More,More
2976,20/02/2022,Millennials,Middle Income,Same,Same,Same
2977,20/02/2022,Gen X,Middle Income,Same,Same,More
2978,20/02/2022,Millennials,Low Income,Same,Same,Same
2979,20/02/2022,Baby Boomers,Low Income,More,More,More
2980,20/02/2022,Gen X,Low Income,More,More,More
2981,20/02/2022,Gen X,Middle Income,Same,Same,Same
2982,20/02/2022,Baby Boomers,Low Income,More,More,More
2983,20/02/2022,Millennials,Middle Income,Same,Same,Same
2984,20/02/2022,Baby Boomers,Low Income,More,More,More
2985,20/02/2022,Millennials,Middle Income,Less,Same,Same
2986,20/02/2022,Millennials,Low Income,Same,Same,Less
2987,20/02/2022,Baby Boomers,Low Income,More,More,Less
2988,20/02/2022,Gen X,Low Income,Same,Same,Less
2989,20/02/2022,Millennials,Middle Income,Same,Same,Same
2990,20/02/2022,Millennials,Low Income,More,More,More
2991,20/02/2022,Gen Z,Low Income,Less,Don't Know or Don't Buy,Same
2992,20/02/2022,Gen X,Middle Income,Same,Same,Same
2993,20/02/2022,Millennials,Low Income,Less,Less,Same
2994,20/02/2022,Baby Boomers,Middle Income,Same,Same,More
2995,20/02/2022,Millennials,Low Income,Same,Same,More
2996,20/02/2022,Gen X,Middle Income,Less,Same,Same
2997,20/02/2022,Gen X,Low Income,Less,Same,Same
2998,20/02/2022,Millennials,Low Income,Same,Same,More
2999,20/02/2022,Millennials,Low Income,Less,Less,Less
3000,20/02/2022,Millennials,Middle Income,Less,Same,More
3001,20/02/2022,Millennials,Low Income,Same,Same,Same
3002,20/02/2022,Baby Boomers,High Income,Same,More,Same
3003,20/02/2022,Gen X,Low Income,Same,Same,Same
3004,20/02/2022,Millennials,Middle Income,Less,Same,More
3005,20/02/2022,Millennials,Middle Income,Same,Less,Same
3006,20/02/2022,Millennials,Middle Income,Same,Same,Same
3007,20/02/2022,Millennials,Middle Income,Less,Less,Same
3008,20/02/2022,Gen Z,Middle Income,Same,More,Don't Know or Don't Buy
3009,20/02/2022,Gen X,Middle Income,Same,Same,More
3010,20/02/2022,Millennials,Middle Income,Same,Same,Same
3011,20/02/2022,Gen X,Middle Income,Same,Same,More
3012,20/02/2022,Millennials,Middle Income,Less,More,Same
3013,20/02/2022,Gen Z,Low Income,Same,Don't Know or Don't Buy,Same
3014,20/02/2022,Millennials,Low Income,Less,Same,Same
3015,20/02/2022,Millennials,Middle Income,Same,Same,Same
3016,20/02/2022,Millennials,Low Income,Same,Less,Less
3017,20/02/2022,Gen X,High Income,Same,More,Same
3018,20/02/2022,Gen Z,Low Income,More,Same,More
3019,20/02/2022,Millennials,Low Income,Same,Less,Less
3020,20/02/2022,Gen X,Middle Income,More,Same,Same
3021,20/02/2022,Gen X,Middle Income,Same,Same,More
3022,20/02/2022,Millennials,Low Income,Same,Same,Same
3023,20/02/2022,Gen Z,Low Income,More,More,More
3024,20/02/2022,Gen Z,Low Income,Same,Same,Same
3025,20/02/2022,Gen Z,Low Income,More,More,Same
3026,20/02/2022,Gen Z,Low Income,Same,More,More
3027,20/02/2022,Millennials,Low Income,More,More,More
3028,20/02/2022,Millennials,Middle Income,Same,Same,Same
3029,20/02/2022,Gen X,Low Income,Same,Same,Less
3030,20/02/2022,Millennials,Low Income,Same,Less,Same
3031,20/02/2022,Millennials,Middle Income,More,More,More
3032,20/02/2022,Gen X,Middle Income,Less,Less,Less
3033,20/02/2022,Millennials,Middle Income,Same,Same,Same
3034,20/02/2022,Baby Boomers,Low Income,More,More,More
3035,20/02/2022,Millennials,Low Income,Same,Same,Same
3036,20/02/2022,Gen Z,Low Income,More,More,Same
3037,20/02/2022,Gen Z,Low Income,More,More,Same
3038,20/02/2022,Millennials,Middle Income,More,More,Same
3039,20/02/2022,Baby Boomers,Low Income,More,More,Same
3040,20/02/2022,Millennials,Middle Income,Same,More,More
3041,20/02/2022,Millennials,Low Income,More,Same,More
3042,20/02/2022,Millennials,Middle Income,Same,Same,Same
3043,20/02/2022,Millennials,Middle Income,Same,More,Same
3044,20/02/2022,Millennials,Middle Income,Same,Same,Same
3045,20/02/2022,Gen Z,Middle Income,Same,More,More
3046,20/02/2022,Baby Boomers,Middle Income,Less,Less,Same
3047,20/02/2022,Millennials,Middle Income,Same,More,Same
3048,20/02/2022,Millennials,Middle Income,More,More,Same
3049,20/02/2022,Gen X,Middle Income,Same,Same,Same
3050,20/02/2022,Millennials,Middle Income,Same,Same,More
3051,20/02/2022,Gen X,Middle Income,Same,Same,More
3052,20/02/2022,Gen X,Middle Income,Same,Same,More
3053,20/02/2022,Baby Boomers,Middle Income,Same,Same,Same
3054,20/02/2022,Gen X,Middle Income,More,Same,Same
3055,20/02/2022,Millennials,High Income,More,More,Same
3056,20/02/2022,Gen X,Middle Income,Same,More,Same
3057,20/02/2022,Gen X,Middle Income,Same,More,More
3058,20/02/2022,Gen X,High Income,Same,Same,Same
3059,20/02/2022,Gen X,Middle Income,Same,More,Same
3060,20/02/2022,Millennials,Middle Income,Same,Same,Same
3061,20/02/2022,Millennials,Low Income,Less,Less,Same
3062,20/02/2022,Millennials,Low Income,Less,Less,Same
3063,20/02/2022,Gen X,Middle Income,Same,Same,Same
3064,20/02/2022,Gen X,Low Income,Less,Same,Same
3065,20/02/2022,Millennials,Middle Income,Less,Less,Less
3066,20/02/2022,Gen X,Low Income,Less,Less,Same
3067,20/02/2022,Millennials,Middle Income,Same,Same,Same
3068,20/02/2022,Millennials,Low Income,Same,Same,Same
3069,20/02/2022,Millennials,Low Income,Same,Same,Same
3070,20/02/2022,Gen X,Middle Income,Less,More,Same
3071,20/02/2022,Millennials,Middle Income,Less,Less,Less
3072,20/02/2022,Millennials,Middle Income,Less,Less,Less
3073,20/02/2022,Millennials,Low Income,Less,Less,Less
3074,20/02/2022,Millennials,Low Income,Same,Same,Same
3075,20/02/2022,Millennials,Middle Income,Less,Same,More
3076,20/02/2022,Gen X,Middle Income,Less,Same,Same
3077,20/02/2022,Gen X,High Income,Same,Same,Same
3078,20/02/2022,Millennials,Middle Income,Same,More,Same
3079,20/02/2022,Millennials,Middle Income,Same,Same,Same
3080,20/02/2022,Gen X,Middle Income,Same,Same,Same
3081,20/02/2022,Gen X,Middle Income,Less,Less,Same
3082,20/02/2022,Millennials,Low Income,Same,Same,More
3083,20/02/2022,Gen X,Low Income,Same,Same,Same
3084,20/02/2022,Gen X,Low Income,Same,Same,Same
3085,20/02/2022,Millennials,Low Income,Same,Same,Same
3086,20/02/2022,Millennials,Middle Income,Same,Same,Same
3087,20/02/2022,Gen X,Low Income,Same,Less,Same
3088,20/02/2022,Gen Z,Middle Income,Same,Same,Same
3089,20/02/2022,Millennials,Middle Income,Same,More,More
3090,20/02/2022,Millennials,Middle Income,More,More,More
3091,20/02/2022,Millennials,Low Income,Same,Same,Same
3092,20/02/2022,Millennials,Middle Income,Less,Same,More
3093,20/02/2022,Millennials,Low Income,Same,Same,Same
3094,20/02/2022,Millennials,Middle Income,More,More,Same
3095,20/02/2022,Millennials,Low Income,More,More,More
3096,20/02/2022,Millennials,Middle Income,More,More,More
3097,20/02/2022,Gen X,Low Income,Same,Same,Same
3098,20/02/2022,Millennials,Middle Income,More,Same,Same
3099,20/02/2022,Millennials,Middle Income,Same,More,More
3100,20/02/2022,Baby Boomers,Middle Income,Same,Same,Same
3101,20/02/2022,Millennials,High Income,Same,More,Same
3102,20/02/2022,Millennials,Middle Income,Same,More,Same
3103,20/02/2022,Millennials,High Income,Same,More,More
3104,20/02/2022,Gen X,Middle Income,Same,Same,More
3105,20/02/2022,Millennials,Middle Income,More,More,Less
3106,20/02/2022,Gen X,Middle Income,Same,More,More
3107,20/02/2022,Gen X,High Income,More,More,More
3108,20/02/2022,Millennials,Middle Income,Same,More,Same
